Account_Number,Customer_ID,Account_Type,Balance
ACC10000002,CUST0001,Checking,-21962.81
ACC10000003,CUST0001,Savings,62630.99999999997
ACC10000004,CUST0002,Checking,45511.579999999994
ACC10000005,CUST0002,Savings,6767.250000000002
ACC10000006,CUST0003,Checking,70631.95
ACC10000007,CUST0003,Savings,78513.02999999998
ACC10000008,CUST0004,Checking,93498.87999999998
ACC10000009,CUST0004,Savings,10992.049999999996
ACC10000010,CUST0005,Checking,6109.270000000003
ACC10000011,CUST0005,Savings,92942.98999999998
ACC10000012,CUST0006,Checking,2661.85
ACC10000014,CUST0007,Checking,4121.58
ACC10000016,CUST0008,Checking,-10272.590000000006
ACC10000017,CUST0008,Savings,57652.60000000003
ACC10000018,CUST0009,Checking,-15839.739999999994
ACC10000019,CUST0009,Savings,38232.06999999997
ACC10000020,CUST0010,Checking,-12656.98
ACC10000021,CUST0010,Savings,27828.910000000007
ACC10000022,CUST0011,Checking,-8963.79
ACC10000023,CUST0011,Savings,87875.75000000001
ACC10000024,CUST0012,Checking,45766.62999999999
ACC10000025,CUST0012,Savings,72436.94999999998
ACC10000026,CUST0013,Checking,67162.37999999999
ACC10000027,CUST0013,Savings,7287.620000000002
ACC10000028,CUST0014,Checking,3956.2399999999993
ACC10000030,CUST0015,Checking,6332.239999999999
ACC10000031,CUST0015,Savings,86066.28000000001
ACC10000032,CUST0016,Checking,35795.18
ACC10000033,CUST0016,Savings,69041.04999999999
ACC10000034,CUST0017,Checking,45989.50999999999
ACC10000035,CUST0017,Savings,60353.5
ACC10000036,CUST0018,Checking,68041.23
ACC10000037,CUST0018,Savings,46940.64999999998
ACC10000038,CUST0019,Checking,50174.49999999999
ACC10000040,CUST0020,Checking,21551.379999999997
ACC10000041,CUST0020,Savings,7207.4500000000035
ACC10000042,CUST0021,Checking,85676.10000000002
ACC10000043,CUST0021,Savings,52075.59000000001
ACC10000044,CUST0022,Checking,2864.1900000000005
ACC10000045,CUST0022,Savings,70963.92000000001
ACC10000046,CUST0023,Checking,45540.6
ACC10000047,CUST0023,Savings,52919.53999999999
ACC10000048,CUST0024,Checking,21216.93999999999
ACC10000050,CUST0025,Checking,40891.09999999999
ACC10000051,CUST0025,Savings,93132.23999999998
ACC10000052,CUST0026,Checking,68761.41
ACC10000053,CUST0026,Savings,8056.049999999999
ACC10000054,CUST0027,Checking,35983.850000000006
ACC10000056,CUST0028,Checking,-14925.600000000002
ACC10000057,CUST0028,Savings,39397.159999999996
ACC10000058,CUST0029,Checking,46240.14
ACC10000060,CUST0030,Checking,6926.480000000002
ACC10000062,CUST0031,Checking,54011.990000000005
ACC10000064,CUST0032,Checking,7737.660000000001
ACC10000065,CUST0032,Savings,30980.749999999996
ACC10000066,CUST0033,Checking,28938.129999999997
ACC10000067,CUST0033,Savings,69379.44000000005
ACC10000068,CUST0034,Checking,34363.600000000006
ACC10000070,CUST0035,Checking,2701.18
ACC10000072,CUST0036,Checking,5487.479999999999
ACC10000073,CUST0036,Savings,9715.29
ACC10000074,CUST0037,Checking,7975.700000000003
ACC10000075,CUST0037,Savings,29910.09
ACC10000076,CUST0038,Checking,17363.72
ACC10000077,CUST0038,Savings,55370.53000000001
ACC10000078,CUST0039,Checking,40749.03999999999
ACC10000080,CUST0040,Checking,62127.89
ACC10000082,CUST0041,Checking,11602.660000000005
ACC10000083,CUST0041,Savings,79137.88999999997
ACC10000084,CUST0042,Checking,-19378.450000000004
ACC10000085,CUST0042,Savings,68574.65999999997
ACC10000086,CUST0043,Checking,59814.03999999998
ACC10000088,CUST0044,Checking,-645.9800000000001
ACC10000090,CUST0045,Checking,-9687.220000000003
ACC10000091,CUST0045,Savings,85934.93
ACC10000092,CUST0046,Checking,1490.3
ACC10000093,CUST0046,Savings,4098.009999999999
ACC10000094,CUST0047,Checking,-6557.939999999999
ACC10000095,CUST0047,Savings,79545.77000000003
ACC10000096,CUST0048,Checking,5598.620000000001
