Customer_ID,Name,Income,Segment,Join_Date,State
CUST0001,Kevin Davis,144836,Business,2023-05-17,NY
CUST0002,Andrew Garcia,71543,Salary,2022-07-11,MA
CUST0003,Joseph Rivera,91192,Salary,2023-07-24,MA
CUST0004,George Ramirez,113076,Salary,2023-03-17,WA
CUST0005,William Thompson,108292,Business,2022-03-30,AZ
CUST0006,Anthony Garcia,13829,Student,2024-01-11,MI
CUST0007,Robert Nelson,22896,Student,2022-06-13,GA
CUST0008,Anthony Moore,158372,Business,2024-01-18,VA
CUST0009,George Baker,96526,Business,2022-12-17,TX
CUST0010,Karen Green,147128,Business,2022-04-25,GA
CUST0011,Karen Jones,38049,Retired,2023-10-07,OH
CUST0012,Carol Robinson,63357,Salary,2023-05-21,IL
CUST0013,Sandra Nguyen,81049,Salary,2022-10-11,CO
CUST0014,Elizabeth Martinez,5434,Student,2024-05-14,PA
CUST0015,Kenneth Robinson,20000,Retired,2022-01-24,NC
CUST0016,Ronald Moore,60943,Salary,2024-06-09,WA
CUST0017,Edward Taylor,49679,Salary,2022-08-06,PA
CUST0018,Kenneth Gonzalez,82856,Salary,2022-11-27,IL
CUST0019,John Hill,52299,Salary,2022-08-18,WA
CUST0020,Nancy Thomas,39692,Salary,2022-06-11,CA
CUST0021,Ronald Wright,111641,Salary,2024-08-31,IL
CUST0022,Kenneth Ramirez,41613,Retired,2023-02-16,OH
CUST0023,Betty Lewis,76688,Salary,2023-04-06,VA
CUST0024,Donna Anderson,39381,Salary,2022-05-01,NY
CUST0025,Lisa Jones,61390,Salary,2024-09-21,GA
CUST0026,Joshua Torres,77773,Salary,2024-08-26,NJ
CUST0027,Sandra Thompson,46225,Salary,2022-04-21,MA
CUST0028,William Brown,138785,Business,2022-08-12,CO
CUST0029,Sandra Lopez,59984,Salary,2022-06-04,NC
CUST0030,Emily Miller,105415,Business,2022-01-31,CA
CUST0031,Sarah Hernandez,59957,Salary,2023-03-14,MA
CUST0032,Richard Harris,72784,Retired,2023-06-28,NY
CUST0033,George Campbell,74663,Salary,2023-08-31,NJ
