Transaction_ID,Account_Number,Date,Time,Amount,Transaction_Type,Category,Merchant_Name,Account_Balance
TXN017329,ACC10000581,2025-06-01,00:00:37,38.03,Debit,Travel,Uber,82707.97
TXN017330,ACC10001599,2025-06-01,00:10:17,15.36,Credit,Interest,Cash Deposit ATM,10258.36
TXN017331,ACC10000057,2025-06-01,00:13:34,45.4,Debit,Food,Subway,47572.6
TXN017332,ACC10001186,2025-06-01,00:15:17,322.08,Debit,Travel,Chevron,18700.92
TXN017333,ACC10001729,2025-06-01,00:29:15,115.69,Debit,Food,Subway,58016.31
TXN017334,ACC10000830,2025-06-01,00:53:32,343.66,Debit,Bills,Comcast,6606.34
TXN017335,ACC10000548,2025-06-01,00:57:48,100.0,Credit,Deposit,Merchant Refund,10477.0
TXN017336,ACC10000985,2025-06-01,01:08:58,8.83,Credit,Interest,Cash Deposit ATM,5892.83
TXN017337,ACC10001437,2025-06-01,01:15:54,206.67,Debit,Travel,Uber,61909.33
TXN017338,ACC10001032,2025-06-01,01:17:57,32.94,Debit,Travel,Airbnb,18111.06
TXN017339,ACC10000011,2025-06-01,01:47:44,120.5,Debit,Food,Chipotle,97325.5
TXN017340,ACC10000160,2025-06-01,02:29:41,7.26,Credit,Interest,Bank Interest Payment,4848.26
TXN017341,ACC10001441,2025-06-01,03:48:19,591.38,Debit,Travel,Uber,14752.62
TXN017342,ACC10000806,2025-06-01,04:06:27,200.0,Credit,Deposit,Cash Deposit ATM,10030.0
TXN017343,ACC10001564,2025-06-01,04:31:31,36.19,Debit,Travel,Lyft,10506.81
TXN017344,ACC10001302,2025-06-01,05:02:59,36.36,Debit,Travel,Uber,3643.64
TXN017345,ACC10001160,2025-06-01,05:04:03,415.89,Debit,Bills,Water Utility,3964.11
TXN017346,ACC10001788,2025-06-01,05:05:28,30.24,Debit,Travel,Amtrack,3914.76
TXN017347,ACC10000037,2025-06-01,05:19:16,33.93,Debit,Travel,Uber,55350.07
TXN017348,ACC10000321,2025-06-01,05:27:55,74.14,Debit,Food,Chipotle,19426.86
TXN017349,ACC10001247,2025-06-01,06:00:50,134.0,Credit,Interest,Merchant Refund,89465.0
TXN017350,ACC10000132,2025-06-01,06:11:59,200.0,Debit,Cash Withdrawal,ATM Withdrawal,12828.0
TXN017351,ACC10001292,2025-06-01,06:21:13,81.77,Debit,Food,Whole Foods,13310.23
TXN017352,ACC10001965,2025-06-01,06:29:42,500.0,Credit,Deposit,Bank Interest Payment,54269.0
TXN017353,ACC10001742,2025-06-01,06:30:39,131.2,Debit,Food,Subway,11118.8
TXN017354,ACC10001180,2025-06-01,06:40:22,30.95,Debit,Travel,Lyft,3774.05
TXN017355,ACC10001771,2025-06-01,06:46:03,62.92,Debit,Food,Kroger,53791.08
TXN017356,ACC10000246,2025-06-01,07:18:16,50.0,Credit,Deposit,Cash Deposit ATM,2326.0
